"INS_DATE","INS_CCD","INS_SCD","INS_PG","UPD_DATE","UPD_CCD","UPD_SCD","UPD_PG","EXCLUS_VER","CONTRACT_CD","CID","OVERTIME_ATR","FLEX_ATR","OT_FR_NO"
,,,,,,,,"0","000000000000","000000000000-0000","0","0","1"
,,,,,,,,"0","000000000000","000000000000-0000","0","0","2"
,,,,,,,,"0","000000000000","000000000000-0000","0","0","3"
,,,,,,,,"0","000000000000","000000000000-0000","0","0","4"
,,,,,,,,"0","000000000000","000000000000-0000","0","0","5"
,,,,,,,,"0","000000000000","000000000000-0000","0","0","6"
,,,,,,,,"0","000000000000","000000000000-0000","0","0","7"
,,,,,,,,"0","000000000000","000000000000-0000","0","0","8"
,,,,,,,,"0","000000000000","000000000000-0000","0","0","9"
,,,,,,,,"0","000000000000","000000000000-0000","0","0","10"
,,,,,,,,"0","000000000000","000000000000-0000","1","0","1"
,,,,,,,,"0","000000000000","000000000000-0000","1","0","2"
,,,,,,,,"0","000000000000","000000000000-0000","1","0","3"
,,,,,,,,"0","000000000000","000000000000-0000","1","0","4"
,,,,,,,,"0","000000000000","000000000000-0000","1","0","5"
,,,,,,,,"0","000000000000","000000000000-0000","1","0","6"
,,,,,,,,"0","000000000000","000000000000-0000","1","0","7"
,,,,,,,,"0","000000000000","000000000000-0000","1","0","8"
,,,,,,,,"0","000000000000","000000000000-0000","1","0","9"
,,,,,,,,"0","000000000000","000000000000-0000","1","0","10"
,,,,,,,,"0","000000000000","000000000000-0000","2","0","1"
,,,,,,,,"0","000000000000","000000000000-0000","2","0","2"
,,,,,,,,"0","000000000000","000000000000-0000","2","0","3"
,,,,,,,,"0","000000000000","000000000000-0000","2","0","4"
,,,,,,,,"0","000000000000","000000000000-0000","2","0","5"
,,,,,,,,"0","000000000000","000000000000-0000","2","0","6"
,,,,,,,,"0","000000000000","000000000000-0000","2","0","7"
,,,,,,,,"0","000000000000","000000000000-0000","2","0","8"
,,,,,,,,"0","000000000000","000000000000-0000","2","0","9"
,,,,,,,,"0","000000000000","000000000000-0000","2","0","10"
